area,brand,name,addr,filter,long,lat,density_2021,ave_pop_growth,2019_income,village_rent,rating,comment
TPE,louisa,北醫門市,台北市信義區莊敬路325巷36號,信義區三張里,121.564336,25.028537,30014.71087611474,-1.33597831846215,4064796.0,2673.0,3.8,12.0
TPE,louisa,信義松仁門市,台北市信義區松仁路242號,信義區六合里,121.569398,25.02458,5168.060287636808,-1.2032194290487443,3470802.0,,3.8,404.0
TPE,louisa,福德大道門市,台北市信義區福德街183號,信義區中坡里,121.583986,25.038018,10657.923990444106,-2.190117931099926,1564188.0,1640.0,4.2,214.0
TPE,louisa,永春門市,台北市信義區忠孝東路五段458號1樓,信義區富台里,121.576477,25.040686,39816.76760778728,-0.7362009135914189,1981177.0,3282.0,3.6,278.0
TPE,louisa,信義松德門市,台北市信義區松德路169巷3號,信義區安康里,121.575238,25.035983,21773.60486066081,-0.941526042059119,8391668.0,2173.0,3.6,182.0
TPE,louisa,葫洲成功直營門市,台北市內湖區成功路五段466號1樓,內湖區金湖里,121.606384,25.07329,12847.158715896674,-0.7300624485139906,7588398.0,2212.0,3.7,529.0
TPE,louisa,內湖堤頂門市,台北市內湖區堤頂大道二段239號,內湖區西湖里,121.566896,25.078195,15663.485203708558,-2.015517407925005,2656491.0,2370.0,3.7,264.0
TPE,louisa,民權成功門市,台北市內湖區民權東路六段117-1號,內湖區湖興里,121.592285,25.06911,15753.51245015254,-1.325484516082668,3030592.0,1621.0,4.0,354.0
TPE,louisa,內湖三民門市,台北市內湖區民權東路六段72號,內湖區湖元里,121.585179,25.068729,2354.8240154726204,-1.6090779492294278,2436938.0,1575.0,3.9,181.0
TPE,louisa,內湖家樂福門市,台北市內湖區民善街88號,內湖區湖元里,121.575365,25.060141,2354.8240154726204,-1.6090779492294278,2436938.0,1575.0,3.2,92.0
TPE,louisa,內湖CITYLINK門市,台北市內湖區成功路四段188號,內湖區內湖里,121.594547,25.084081,39958.036112448775,0.6199535700751675,2799230.0,1823.0,3.2,318.0
TPE,louisa,內湖洲子門市,台北市內湖區洲子街69號1樓,內湖區港墘里,121.572708,25.079567,9613.582377896171,-0.8184590318162618,2747906.0,2278.0,3.9,416.0
TPE,louisa,內湖成功直營門市,台北市內湖區成功路四段75號,內湖區清白里,121.592862,25.082279,23923.443649085624,-0.9550215860906284,5429764.0,1237.0,3.6,662.0
TPE,louisa,內湖文湖門市,台北市內湖區文湖街37號,內湖區西康里,121.561595,25.08676,8470.23465979684,-0.658879111548168,4657416.0,1960.0,4.0,415.0
TPE,louisa,內湖285門市,台北市內湖區內湖路一段285巷27弄1號,內湖區西湖里,121.567017,25.083244,15663.485203708558,-2.015517407925005,2656491.0,2370.0,3.5,135.0
TPE,louisa,內湖行善門市,台北市內湖區行善路62號,內湖區湖元里,121.576061,25.056961,2354.8240154726204,-1.6090779492294278,2436938.0,1575.0,4.0,438.0
TPE,louisa,內湖陽光門市,台北市內湖區瑞光路209號,內湖區港墘里,121.579038,25.073983,9613.582377896171,-0.8184590318162618,2747906.0,2278.0,4.0,482.0
TPE,louisa,內湖瑞光直營門市,台北市內湖區瑞光路431號,內湖區港墘里,121.571226,25.078243,9613.582377896171,-0.8184590318162618,2747906.0,2278.0,3.8,264.0
TPE,louisa,內湖文德門市,台北市內湖區文德路90巷38號,內湖區瑞陽里,121.582894,25.076965,39318.68889969509,-1.8311212158707828,3317689.0,1791.0,4.0,415.0
TPE,louisa,東湖門市,台北市內湖區東湖路33巷8號1樓,內湖區安湖里,121.613265,25.069306,51814.726189983085,-0.8104333399541493,3117732.0,3188.0,3.5,375.0
TPE,louisa,石牌門市,台北市北投區裕民三路3號,北投區振華里,121.516216,25.116164,27806.720973650023,-1.32882704297795,3135363.0,3231.0,3.4,359.0
TPE,louisa,明德直營門市,台北市北投區明德路119號,北投區榮華里,121.519946,25.109893,19590.039014794453,-1.23879324260859,3982536.0,1966.0,3.8,556.0
TPE,louisa,北投社直營門市,台北市北投區光明路65號1樓,北投區大同里,121.500097,25.132964,8830.866087816092,-2.87752031187809,2169240.0,2378.0,4.2,722.0
TPE,louisa,新北投直營門市,台北市北投區中和街22號,北投區中心里,121.503097,25.137847,15098.281184928255,-1.063735215602287,2354831.0,3333.0,3.8,395.0
TPE,louisa,南港站前門市,台北市南港區興華路28號,南港區東明里,121.605915,25.054943,18109.99350355522,5.35298623821879,2265416.0,1120.0,3.5,270.0
TPE,louisa,南港展覽館直營門市,台北市南港區經貿二路1號1樓商店街106-2,南港區三重里,121.617345,25.056376,7451.3328837748495,1.368015199290292,5225294.0,2335.0,2.4,69.0
TPE,louisa,南港中信門市,台北市南港區經貿二路186號b棟3樓,南港區三重里,121.615185,25.059222,7451.3328837748495,1.368015199290292,5225294.0,2335.0,3.0,204.0
TPE,louisa,後山埤門市,台北市南港區南港區中坡南路13號,南港區鴻福里,121.5828238,25.04379867,38160.509828507245,-1.8309102551929373,1714945.0,1577.0,3.7,571.0
TPE,louisa,松山站前門市,台北市南港區八德路四段786號,南港區玉成里,121.580437,25.0505,11625.129195012189,-1.392464322715862,1566241.0,3080.0,3.7,251.0
TPE,louisa,南港昆陽門市,台北市南港區昆陽街4號,南港區西新里,121.592322,25.053858,10184.807497786633,-1.7940145710829023,1574834.0,1424.0,3.3,226.0
TPE,louisa,CITYLINK南港門市,台北市南港區忠孝東路七段369號1F,南港區中南里,121.607208,25.052669,2156.3364620975462,-2.364998031582788,992878.0,1603.0,3.3,228.0
